NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_EM,ANO_IN_GRAD,CO_TURNO_GRADUACAO,TP_INSCRICAO_ADM,TP_INSCRICAO,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68,QE_I69,QE_I70,QE_I71,QE_I72,QE_I73,QE_I74,QE_I75,QE_I76,QE_I77,QE_I78,QE_I79,QE_I80,QE_I81
2017,453,5,10020,4006,9440,1,1721000,17,1,23,M,2011.0,2014.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,DADBCEAD,11111.0,ECACEDADBBBEAECBDEAEACBACBC,991118111111000191119110101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,555.0,"69,8","53,7","62,5","40,5",81.0,85.0,80.0,0.0,0.0,0.0,"75,2","77,3","63,3",50.0,95.0,45.0,C,C,D,B,D,C,B,E,D,A,A,A,D,D,D,A,A,D,E,C,C,F,A,C,31.0,A,A,B,C,B,C,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,33,M,2003.0,2012.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,CCABBEAD,11010111.0,EEADEDADBBBBBEBADEADACBECCC,991018111110100091109110111,555.0,555.0,555.0,333.0,555.0,555.0,333.0,333.0,333.0,555.0,555.0,"59,0","45,0","75,0","0,0",0.0,0.0,0.0,0.0,0.0,0.0,"63,7","68,2","38,3",0.0,85.0,30.0,D,C,B,B,B,D,B,D,E,B,A,A,E,D,C,C,C,F,E,B,A,A,A,A,17.0,A,A,B,G,A,B,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,22,F,2013.0,2014.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,EAADBEDC,100.0,ADEDACADBBCEDEDCDBDEEABCCDB,990008111101001090019010100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,"35,4","28,9","12,5","53,5",39.0,75.0,30.0,68.0,60.0,70.0,"37,5","40,9","18,3",0.0,0.0,55.0,C,C,A,B,D,C,B,D,D,A,A,A,C,D,B,B,B,D,E,E,A,A,A,A,17.0,A,B,A,A,A,C,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,29,M,2005.0,2010.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,BCCECEDA,1001100.0,DCBDDDADBADCDCDADAEBECAECCA,990008111000001090009100110,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"36,6","53,5","37,5","77,5",82.0,90.0,80.0,73.0,65.0,75.0,"31,0","31,8","26,7",30.0,30.0,20.0,C,C,B,B,B,D,E,C,C,E,B,A,C,B,C,B,D,E,E,G,A,F,A,A,17.0,A,A,B,G,B,A,C,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,22,M,2013.0,2014.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,CAABCEAB,10011110.0,ADAADCCDBBBEBABCBEAAEDBBCBC,991008011111100091109010101,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,555.0,"53,8","64,1","62,5","66,5",61.0,45.0,65.0,72.0,80.0,70.0,"50,3","54,5","26,7",0.0,40.0,40.0,D,D,E,D,D,D,B,D,E,A,D,A,D,E,D,A,B,C,A,C,A,A,A,A,17.0,A,A,A,H,A,D,E,E,C,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,21,M,2013.0,2014.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,ABBBCEAE,111110.0,ECADECCDBBBEDEDCDEAEEDDBCCC,991018011111001091119000111,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,"64,3","66,5","62,5","72,5",75.0,75.0,75.0,70.0,70.0,70.0,"63,6","63,6","63,3",20.0,100.0,70.0,D,C,C,C,B,C,E,D,D,A,D,A,F,E,B,C,D,E,E,H,A,A,A,A,17.0,B,A,B,D,A,A,B,E,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,24,M,2013.0,2014.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,CDDBBEAD,10010111.0,EBACBEABBBEEDEBECEAAABCECCB,991108101101000091109000110,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,"49,0","66,3","62,5","72,0",78.0,70.0,80.0,66.0,30.0,75.0,"43,2","45,5","30,0",30.0,0.0,60.0,D,D,C,B,B,C,B,D,D,B,A,A,D,D,C,C,B,A,E,E,A,A,A,A,17.0,A,E,A,K,B,A,B,E,H,I,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,453,5,10020,4006,9440,1,1721000,17,1,28,M,2005.0,2007.0,4.0,0,1,8,0,0,0,27,1,4,0,CCBBCEAD,CCBBCEAD,CEACEZADBBBEBDDBBEAEACBDCCC,XXACEZADBBBEBDDBXEAEXCBDCCC,CCBBCEAD,11111111.0,AECCBCBDBCBDEDDCDAEACCBECBB,990108011010011090009110100,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,555.0,333.0,"53,0","91,0",100,"77,5",86.0,70.0,90.0,69.0,65.0,70.0,"40,3","40,9","36,7",30.0,80.0,0.0,C,D,C,B,B,B,D,D,D,A,D,A,D,E,B,D,C,E,E,E,A,F,A,A,17.0,A,A,B,H,A,C,C,D,E,F,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,
2017,3849,1,10028,2402,17134,1,1718204,17,1,43,M,1996.0,2010.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,,,,,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,222.0,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3849,1,10028,2402,17134,1,1718204,17,1,30,F,2009.0,2013.0,1.0,0,1,8,0,0,0,27,0,3,0,CCBBCEAD,CCBBCEAD,DBDACADAEBCEEACECBAECDEAADD,DBDAXADAEBCEEAXECBAECXEAADD,BCDBCEBC,1011100.0,CBBBDADDDCBBDCAAEDBBCEBAAAD,010091100000009000001901101,555.0,555.0,555.0,555.0,555.0,555.0,333.0,555.0,333.0,555.0,555.0,"31,6","45,0","50,0","37,5",0.0,0.0,0.0,75.0,75.0,75.0,"27,1","29,2","15,0",0.0,25.0,20.0,D,D,B,C,B,C,B,B,C,E,B,A,B,D,C,D,B,E,C,A,F,D,A,A,17.0,A,A,G,G,B,E,C,A,H,A,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,5.0,3.0,5.0,6.0,7.0,6.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,B,F,H,D,A,A,D,E,A,C,C,B,B
